id,type,text1,text2,text3,notes
# SHIPS ,,,,,
unsc_frigate_paris,SHIP,"The Paris-class heavy frigate is a type of fleet escort ship in service with the UNSC Navy. While it lacks shields and any significant armor, its exceptional mobility with an impressive arsenal of weaponry for its size makes it a cost-effective fire-support platform to supplement to any fleet. ",,,
unsc_destroyer_halberd,SHIP,"The Halberd-class destroyer serves as a powerful ship-of-the-line in the UNSC navy. Although it loses the agility of its smaller cousins, it sports a dual-barreled MAC battery and extremely thick Titanium-A armor plating, allowing it to both dish out and take in enormous amounts of damage.",,,
unsc_frigate_charon,SHIP,"The Charon-class support frigate is the smaller cousin of the venerable Paris-class and acts as the workhorse of the UNSC fleet, dedicating the majority of its internal space for carrying supplies and cargo. Yet like all UNSC ships, it still maintains a small MAC , making it able to provide substantial firepower in a pinch.",,,
unsc_fighter_sabre,SHIP,"The YSS-1000 Sabre is a space superiority fighter that offers a swift and versatile platform that can engage both in deep space and in low orbit. It is equipped with dual autocannons and light missile pods, allowing it to engage targets of all sizes effectively.",,,
unsc_cruiser_marathon,SHIP,The Marathon-class heavy cruiser was built as a replacement for the Halcyon-class light cruiser with added tactical hangar bays and an improved shield generator. It's enormous firepower and size makes it the preferred flagship of many UNSC fleet commanders.,,,
unsc_bomber_longsword,SHIP,"The GA-TL1 Longsword Strike Fighter is a multi-mission platform in service with the UNSC. It's relatively large size allows it to house exceptional amounts of defensive implements and ordinance, making it a hardy and hard-hitting small craft. This particular variant is equipped with a pair of ASGM-10 missiles for anti-ship purposes and an autocannon for self defense.",,,
unsc_cruiser_halcyon,SHIP,"The venerable Halcyon-class Cruiser is equipped with an upgraded version of the Mk. II MAC, with additional power capacitors and recyclers that allow for it to fire a burst of shells in quick succession. Its thick Titanium-A armor plating is capable of making up for where its lackluster shield generators and manuvering thrusters fail.",,,
unsc_frigate_strident,SHIP,"The Strident-class Frigate is a part of the newest generation of UNSC ships, equipped with energy shielding and a smaller, but higher-efficiency MAC. This lightweight vessel sacrifices armor for improved speed, a small hangar bay capable of tactical operations, and an upgraded power plant.",,,
unsc_corvette_mako,SHIP,"The venerable Mako-class corvette is a light warship designed to escort the larger vessels that make up the bulk of the UNSC navy. 

Although relatively undergunned for a ship of its size, it's exceptional powerplant and modular design hull allows for the mounting of modifications to make up for its deficiencies. ",,,
unsc_carrier_punic,SHIP,This downsized model of the famous Punic-class supercarrier provides the UNSC fleet with fighter cover while being able to hold it's own as a ship-of-the-line in a fleet action.,,,
,,,,,
# WEAPONS,,,,,
